"feature"	"current"	"need"	"diff"
"Web-based modeling environment"	23.68	87.18	63.5
"Editors supporting multiple types of notations"	55.26	84.21	28.95
"Textual editors"	56.41	84.62	28.21
"Tabular editors"	41.03	71.79	30.77
"Tree-based editors"	50	65.79	15.79
"Sketch-based editors"	8.82	34.29	25.46
"Visual editors"	89.74	94.87	5.13
"Mobile-based modeling environment"	5.41	10.53	5.12
"Desktop-based modeling environment"	89.74	71.79	-17.95
