"feature"	"current"	"need"	"diff"
"Model merging"	56.1	95.12	39.02
"Semantic model differencing"	52.5	92.5	40
"Model differencing"	57.5	90	32.5
"Internal versioning"	53.85	84.21	30.36
"External version control"	70.73	90.24	19.51
"Version branching"	68.29	85.37	17.07
"Undo-redo"	76.92	92.5	15.58
"History"	80.49	95.12	14.63
