"feature"	"current"	"need"	"diff"
"Web-based modeling environment"	23.33	83.87	60.54
"Editors supporting multiple types of notations"	50	86.67	36.67
"Textual editors"	51.61	87.1	35.48
"Tabular editors"	41.94	74.19	32.26
"Sketch-based editors"	11.11	40.74	29.63
"Tree-based editors"	53.33	70	16.67
"Visual editors"	90.32	96.77	6.45
"Mobile-based modeling environment"	6.9	10	3.1
"Desktop-based modeling environment"	87.1	77.42	-9.68
