"feature"	"current"	"need"	"diff"
"Web-based modeling environment"	25	100	75
"Tabular editors"	37.5	62.5	25
"Tree-based editors"	37.5	50	12.5
"Mobile-based modeling environment"	0	12.5	12.5
"Sketch-based editors"	0	12.5	12.5
"Editors supporting multiple types of notations"	75	75	0
"Textual editors"	75	75	0
"Visual editors"	87.5	87.5	0
"Desktop-based modeling environment"	100	50	-50
